Prod_id,Prod_name,Prod_price,Prod_size,Prod_stock,Prod_brand,Prod_Model,Prod_Desc
10292661,Oscar Mayer Lower Sodium Bacon 16 oz. Pack,,16 oz,Not available,Oscar Mayer,01992,"&lt;p&gt;With Oscar Mayer Lower Sodium Bacon, you can feel good about treating your family to one of their favorite foods more often. Oscar Mayer Lower Sodium Bacon has 30% less sodium yet delivers the great naturally hardwood smoked flavor you'd expect. Oscar Mayer￢ﾀﾔnothing but the best.&lt;/p&gt;"
10292667,Oscar Mayer Center Cut Original Bacon 12 oz. Pack,,12 oz,Not available,Oscar Mayer,2268,
10292756,"Oscar Mayer 98% Fat Free Shaved Rotisserie Style Chicken Breast, 9 oz",,9 oz,Not available,Oscar Mayer,3099,
10292757,"Jennie-O 93/7 Lean Ground Turkey Tray, Fresh 3.0 lbs",,N,Not available,,,3Lb Ground Turkey
10292758,"Jennie-O 85/15 Ground Turkey Roll, Fresh 1.0 lbs",,16 oz,Not available,,,
10292760,Festive White & Dark Meat Turkey Loaf & Gravy in Roasting Pan 32 oz. Box,,32 oz,Not available,Festive,2115-05,"&lt;p&gt;Jennie-O Turkey Store White &amp; Dark Turkey &amp; Gravy is a convenient way to serve delicious turkey any day of the week. For a tasty change of pace, try an open-faced hot turkey sandwich. Or cut turkey into small cubes and serve on pasta or rice.&lt;/p&gt;"
10292761,Festive White Meat Turkey Loaf & Gravy in Roasting Pan 32 oz. Box,,0,Not available,,,"Festive Turkey Loaf &amp; Gravy is a convenient way to serve delicious turkey any day of the week. For a tasty change of pace, try an open faced hot turkey sandwich. Or, cut turkey into small cubes and serve on pasta or rice."
10293115,"Bay Beauty Fancy Wild Alaskan Pink Salmon, 14.75 oz",3.83,14.75,Available,Bay Beauty,C4120131,&nbsp;
10293118,Icy Point Fancy Alaskan Pink Salmon 14.75 Oz Can,3.83,14.75,Available,Icy Point,C41201C0,&nbsp;
10293119,"Pink Beauty Fancy Alaskan Pink Salmon, 14.75 oz",2.98,14.75 oz,Not available,Pink Beauty,C41201P1,"&lt;p&gt;Pink beauty pink salmon is a completely natural product; free of artificial additives or preservatives. Only salt has been added to enhance the flavor. Pink beauty canned salmon comes ready to serve. Breakfast, lunch or dinner, pink beauty canned salmon adds flavor, quality And nutrition to any entree. Lemon vinaigrette recipe&lt;/p&gt;"
10293166,"Odom's Tennessee Pride Mild Country Sausage Roll, 16 Ounce",,16 oz net weight,Not available,Tennessee Pride,008,
10293167,"Odom's Tennessee Pride Hot Country Sausage Roll, 16 Ounce",,16 oz net weight,Not available,Tennessee Pride,009,
10293169,"Odom's Tennessee Pride Mild Country Sausage Roll, 32 Ounce",,32 oz net weight,Not available,Tennessee Pride,010,
10293171,"Odom's Tennessee Pride Mild Sausage Patties, 30 Count",,40 oz net weight,Not available,Tennessee Pride,152,
10293172,"Odom's Tennessee Pride Original Sausage Patties, 6 Count",,8 oz net weight,Not available,Tennessee Pride,452,"&lt;p&gt;Made with finest cuts of pork and a secret blend of spices, Tennessee Pride Original Sausage Patties are just right for breakfast and snacks.&lt;/p&gt;"
10293174,"Odom's Tennessee Pride Country Sausage Roll with Sage, 16 Ounce",,16 oz net weight,Not available,Tennessee Pride,107,
10293176,"Odom's Tennessee Pride Sausage Links, 12 Count",,10 oz net weight,Not available,Tennessee Pride,301,"&lt;p&gt;Made with the finest cuts of pork and a secret blend of spices, Tennessee Pride Original Sausage Links are just right for breakfast and snacks.&lt;/p&gt;"
10293213,"Shadybrook Farms Fresh Turkey Bratwurst, 1.3 lbs",,,Not available,Shady Brook Farms,54071,
10293218,"Old Wisconsin Original Premium Summer Sausage, 16 oz",,16 oz,Not available,Old Wisconsin Sausage,1125,
10293219,"Old Wisconsin Beef Premium Summer Sausage, 16 oz",,16 oz,Not available,Old Wisconsin,1315,
10293329,"Zatarain's® Crab and Shrimp Boil - Liquid, Lemon, 8 oz. Bottle",3.01,8 fl oz,Available,Zatarain's,14517,"&lt;p&gt;Zatarain's liquid crab boil is a special blend of seasonings that gives you great tasting seafood every time without the guesswork. It is great for adding flavor excitement to other foods--hot dogs, fresh corn on the cob, potatoes, corned beef and ham. Just use the same proportions as for boiling shrimp. Or add a few drops in red beans, gumbo, gravy or marinades for extra zest.&lt;/p&gt;"
10293339,"Oscar Mayer Turkey Bacon, 12 oz",,12 oz net weight,Not available,Oscar Mayer,4800,"&lt;p&gt;Oscar Mayer Turkey Bacon gives you all the great bacon taste you want with 50% less fat. Plus, there￢ﾀﾙs no greasy clean-up.&lt;/p&gt;"
10293616,Lloyd's® Barbeque Co. Seasoned & Smoked Babyback Pork Ribs in Original BBQ Sauce 37.4 oz. Package,,37.4 oz,Not available,Lloyd's,22945,
10293619,"Lloyd's St. Louis Style w/Original Barbeque Sauce Pork Spareribs, 36.8 oz",,36.8 oz,Not available,Lloyd's,15057,
10293623,"Lloyd's Shredded Original BBQ Sauce Chicken, 18 oz",,18 oz,Not available,Lloyd's,33586,
10293624,Lloyd's® Barbeque Co. Seasoned Shredded Pork in Original BBQ Sauce 16 oz. Tub,,18 oz,Not available,Lloyd's,33587,
10293626,"Daily Premium Meats: Hardwood Smoked Honey Cured Thick Sliced Bacon, 24 Oz",,24 oz,Not available,Daily's,32110,
10293627,"Daily Premium Meats: Hardwood Smoked Peppered Thick Sliced Rubbed W/ Pepper Bacon, 24 Oz",,24 oz,Not available,Daily's,32309,
10293628,"Daily's Hardwood Smoked Ends & Pieces Bacon, 48 oz",,48 oz,Not available,Daily's,60150,
10293911,"Great Value Naturally Hickory Smoked Original Bacon, 16 oz",,,Not available,Great Value,90505294,"&lt;p&gt;Our guarantee is our promise that you'll be fully satisfied with the quality of every Great Value product. If for any reason you aren't happy, we'll replace it or return your money. Whichever you prefer. All you need is the package and the receipt. It's that simple. Great quality. Great price. Guaranteed.&lt;/p&gt;"
10293912,"Great Value Original Bacon, 24 oz",,,Not available,Great Value,60538818679,
10293913,"Great Value Naturally Hickory Smoked Lower Sodium Bacon, 16 oz",,,Not available,Great Value,90505296,"&lt;p&gt;Our guarantee is our promise that you￢ﾀﾙll be fully satisfied with the taste and quality of every Great Value product. If for any reason you aren't happy, we'll replace it or return your money. Whichever you prefer. All you need is the package and the receipt. It￢ﾀﾙs that simple. Great quality. Great price. Guaranteed.&lt;/p&gt;"
10294342,"Meow Mix Tender Favorites with Real Tuna & Whole Shrimp in Sauce Cat Food, 2.75 oz",1.48,2.75,Available,Meow Mix,00615,&lt;p&gt;Treat your cat to the Meow Mix Market Select Real Tuna Whole Shrimp In Sauce Wet Cat Food. This cat food is made with real tuna and whole shrimp in a sauce that will tempt your cat's taste buds. This tasty Meow Mix cat food comes packed in a sturdy plastic cup with an easy-to-peel lid. Try this complete nutrition cat food to promote your cat's overall good health.&lt;/p&gt;
10294407,"Volpi Prep Dry Cured Ham Traditional Prosciutto, 3.0 OZ",,,Not available,Volpi,290284,&nbsp;
10295749,"Vita Wild Nova Salmon, 3 oz",,3 oz,Not available,Vita,70011,"&lt;p&gt;Vita Food Products, Inc. processes and sells a variety of herring and smoked salmon products, as well as other complementary specialty food products throughout the United States.&lt;/p&gt;"
10295750,"Vita Classic Premium Sliced Smoked Altlantic Nova Salmon, 4 Oz",,4 oz,Not available,Vita Classic,70032,"&lt;p&gt;Salmon and herring are a good source of protein and Omega-3 fatty acids which benefit heart health. In fact, herring has the most Omega-3 fatty acids of the fish tabulated by the American Heart Association.&lt;/p&gt;"
10295791,Butterball Everyday Lean Italian Style Turkey Sausage Sweet Links 5 ct Tray,,16 oz,Not available,Butterball,71771,"BHA, BHT and citric acid added to help protect flavor.&lt;br&gt;Recipes: Minestrone Soup with a Twist, Sausage &amp; Mushroom Marinara.&lt;br&gt;Inspected for wholesomeness by U.S. Department of Agriculture."
10295793,Butterball  Everyday Fresh 93% Lean Turkey Burger Patties 1.0 lbs.,,N,Not available,Butterball,72352,"With natural flavoring.&lt;br&gt;Recipes: Tex Burger, California Burger.&lt;br&gt;Inspected for wholesomeness by U.S. Department of Agriculture."
10299112,Deming's® Red Sockeye Wild Caught Alaskan Salmon 14 3/4 oz Can,6.57,14.75 oz,Available,Deming's,3340,&lt;p&gt;Enjoy the signature taste of Deming's Red Sockeye Wild Caught Alaskan Salmon. Deming's canned salmon is a rich source of essential omega-3 fatty acids. Use this premium quality Alaskan salmon on your salads or sandwiches for the rich taste and nutritional benefits it offers. It comes packaged in a 14.75-ounce can.&lt;/p&gt;
10299113,"Deming's Pink Wild Caught Alaskan Salmon, 14.75 oz",3.72,14.75 oz,Available,Deming's,12863,
10306753,"Jennie-O Italian Style Ground Turkey Tray, Fresh 1.25 lbs",,20.0,Not available,Jennie-O,002043,70% less fat than USDA data for regular ground beef. Our product contains 9g of fat per serving compared to 33g for regular ground beef.&lt;br&gt;Inspected for wholesomeness by U.S. Department of Agriculture. The turkey used in this product was raised without added hormones or steroids. Federal regulations prohibit the use of hormones in turkey.&lt;br&gt;Recipe: Italian Quesadillas. Recipe: Zucchini Scoops. Per Serving: 9g Fat; 170 Calories; 19g Protein.
10306754,"Jennie-O Turkey Patties Tray, Fresh 1.0 lbs",,   0,Not available,Jennie-O,000062,"The safe way to cook your turkey pattiesCompletely cook your turkey patties until they are well-done and reach a uniform, internal temperature of 165F. Always use a meat thermometer inserted into the center of the turkey patties&lt;br&gt;We're on a mission to show the world how easy and delicious it is to eat well to find out more. Visit switchtoturkey.com."
